generation,qubit_mutated,energy,objective_cx,status,time_elapsed_sec
238,5,-5.7366,-12.7366,REJECTED,17.4677
239,5,-5.7366,-12.7366,REJECTED,17.5728
240,8,-5.7366,-12.7366,REJECTED,17.6528
241,8,-5.7512,-12.7512,ACCEPTED,17.7255
242,1,-5.9753,-12.9753,ACCEPTED,17.8245
243,12,-5.9753,-12.9753,REJECTED,17.9053
244,6,-5.9753,-12.9753,REJECTED,17.9772
245,8,-5.9753,-12.9753,REJECTED,18.0498
246,7,-5.9753,-12.9753,REJECTED,18.123
247,7,-5.9753,-12.9753,REJECTED,18.204
248,4,-5.9753,-12.9753,REJECTED,18.2775
249,0,-5.9753,-12.9753,REJECTED,18.3514
250,4,-6.0461,-13.0461,ACCEPTED,18.4244
251,2,-6.0461,-13.0461,REJECTED,18.5022
252,10,-6.0461,-13.0461,REJECTED,18.5836
253,1,-6.1582,-13.1582,ACCEPTED,18.6667
254,8,-6.1582,-13.1582,REJECTED,18.7485
255,1,-6.1582,-13.1582,REJECTED,18.8259
256,10,-6.1582,-13.1582,REJECTED,18.8961
257,3,-6.1582,-13.1582,REJECTED,18.9778
258,0,-6.1582,-13.1582,REJECTED,19.0834
259,5,-6.1582,-13.1582,REJECTED,19.1536
260,2,-6.1582,-13.1582,REJECTED,19.2351
261,9,-6.1582,-13.1582,REJECTED,19.3178
262,14,-6.1582,-13.1582,REJECTED,19.3986
263,10,-6.1582,-13.1582,REJECTED,19.4727
264,8,-6.1582,-13.1582,REJECTED,19.5473
265,5,-6.1582,-13.1582,REJECTED,19.6186
266,4,-6.1582,-13.1582,REJECTED,19.6883
267,11,-6.1582,-13.1582,REJECTED,19.7629
268,13,-6.1582,-13.1582,REJECTED,19.8408
269,12,-6.1909,-13.1909,ACCEPTED,19.9182
270,3,-6.1909,-13.1909,REJECTED,19.9936
271,10,-6.1909,-13.1909,REJECTED,20.0645
272,14,-6.1909,-13.1909,REJECTED,20.1361
273,12,-6.1909,-13.1909,REJECTED,20.2137
274,3,-6.1909,-13.1909,REJECTED,20.2938
275,9,-6.1909,-13.1909,REJECTED,20.3728
276,1,-6.2617,-13.2617,ACCEPTED,20.4535
277,13,-6.2617,-13.2617,REJECTED,20.5323
278,8,-6.2617,-13.2617,REJECTED,20.6087
279,10,-6.2617,-13.2617,REJECTED,20.6793
280,12,-6.2617,-13.2617,REJECTED,20.7478
281,12,-6.2617,-13.2617,REJECTED,20.8179
282,0,-6.2617,-13.2617,REJECTED,20.8865
283,1,-6.2617,-13.2617,REJECTED,20.9559
284,11,-6.2617,-13.2617,REJECTED,21.0257
285,12,-6.3127,-13.3127,ACCEPTED,21.0949
286,6,-6.3127,-13.3127,REJECTED,21.1678
287,2,-6.3127,-13.3127,REJECTED,21.2377
288,10,-6.3127,-13.3127,REJECTED,21.3076
289,10,-6.3127,-13.3127,REJECTED,21.3767
290,6,-6.3127,-13.3127,REJECTED,21.4453
291,7,-6.3127,-13.3127,REJECTED,21.5132
292,2,-6.3127,-13.3127,REJECTED,21.5829
293,14,-6.4766,-13.4766,ACCEPTED,21.6533
294,14,-6.4766,-13.4766,REJECTED,21.7244
295,8,-6.4766,-13.4766,REJECTED,21.7938
296,13,-6.4766,-13.4766,REJECTED,21.8624
297,14,-6.4766,-13.4766,REJECTED,21.9323
298,7,-6.4766,-13.4766,REJECTED,21.9999
299,13,-6.4766,-13.4766,REJECTED,22.0679
300,13,-6.4766,-13.4766,REJECTED,22.1356
